Environmental package	Package item	Structured comment name	Value	Value details	Occurrence	Value syntax	Definition	EU	BA	PL	VI	ORG	ME	MIENS_S	MIENS_C	Position
human-gut	perturbation	perturbation	[perturbation type name;time interval]		multiple	text;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with time that perturbation occurred; can include multiple perturbation types	X	X	X	X	X	X	X	X	27
human-gut	sample salinity	samp_salinity	[measurement value]		1	float unit	salinity of sample, i.e. measure of total salt concentration	X	X	X	X	X	X	X	X	28
human-gut	oxygenation status of sample	oxy_stat_samp	[enumeration]	aerobic, anaerobic	1	Controlled vocabulary term	oxygenation status of sample	X	X	X	X	X	X	X	X	29
human-gut	temperature	temp	[measurement value]		1	float unit	temperature of the sample at time of sampling	X	X	X	X	X	X	X	X	30
human-gut	organism count	organism_count	[organism name;measurement value]		multiple	text;float unit	total count of any organism per gram or volume of sample,should include name of organism followed by count; can include multiple organism counts	X	X	X	X	X	X	X	X	31
human-gut	sample storage temperature	samp_store_temp	[measurement value]		1	float unit	temperature at which sample was stored, e.g. -80	X	X	X	X	X	X	X	X	32
human-gut	sample storage duration	samp_store_dur	[time interval]		1	[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	duration for which sample was stored	X	X	X	X	X	X	X	X	33
human-gut	sample storage location	samp_store_loc	[location name]		1	text	location at which sample was stored, usually name of a specific freezer/room	X	X	X	X	X	X	X	X	34
human-gut	miscellaneous parameter	misc_param	[parameter name;measurement value]		multiple	text;float unit or text	any other measurement performed or parameter collected, that is not listed here	X	X	X	X	X	X	X	X	35
human-oral	nose/mouth/teeth/throat disorder	nose_mouth_teeth_throat_disord	[disorder name]		multiple	text	history of nose/mouth/teeth/throat disorders; can include multiple disorders	X	X	X	X	X	X	X	X	1
human-oral	time since last toothbrushing	time_last_toothbrush	[timestamp]		1	[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	specification of the time since last toothbrushing	X	X	X	X	X	X	X	X	2
human-oral	host subject id	host_subject_id	[unique id]		1	variable character	a unique identifier by which each subject can be referred to, de-identified, e.g. #131	X	X	X	X	X	X	X	X	3
human-oral	age	age	[value]		1	float unit	age of host at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees	X	X	X	X	X	X	X	X	4
human-oral	sex	sex	[enumeration]	male,female,neuter,hermaphrodite,not determined	1	Controlled vocabulary term	physical sex of the host	X	X	X	X	X	X	X	X	5
human-oral	disease status	disease_stat	[disease name or DO]	DO (Disease Ontology); http://gemina.svn.sourceforge.net/viewvc/gemina/trunk/Gemina/ontologies/gemina_symptom.obo?view=log	multiple	text or DO term	list of diseases with which the host has been diagnosed; can include multiple diagnoses. the value of the field depends on host; for humans the terms should be chosen from DO (Disease Ontology), other hosts are free text	X	X	X	X	X	X	X	X	6
human-oral	IHMC medication code	ihmc_medication_code	[IHMC code]	01=1=Analgesics/NSAIDS, 02=2=Anesthetics, 03=3=Antacids/H2  antagonists, 04=4=Anti-acne, 05=5=Anti-asthma/bronchodilators, 06=6=Anti-cholesterol/Anti-hyperlipidemic, 07=7=Anti-coagulants, 08=8=Antibiotics/(anti)-infectives, parasitics, microbials, 09=9=Antidepressants/mood-altering drugs, 10=10=Antihistamines/ Decongestants, 11=11=Antihypertensives, 12=12=Cardiovascular, other than hyperlipidemic/HTN, 13=13=Contraceptives (oral, implant, injectable), 14=14=Emergency/support medications, 15=15=Endocrine/Metabolic agents, 16=16=GI meds (anti-diarrheal, emetic, spasmodics), 17=17=Herbal/homeopathic products, 18=18=Hormones/steroids, 19=19=OTC cold & flu, 20=20=Vaccine prophylaxis, 21=21=Vitamins, minerals, food supplements, 99=99=Other	multiple	IHMC code number	can include multiple medication codes	X	X	X	X	X	X	X	X	7
human-oral	chemical administration	chem_administration	[CHEBI;timestamp]	CHEBI (Chemical Entities of Biological Interest) browser; http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=CHEBI	multiple	CHEBI term;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds	X	X	X	X	X	X	X	X	8
human-oral	body site	body_site	[FMA]	FMA (Foundational Model of Anatomy) browser; http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=FMA	1	FMA term	name of body site where the sample was obtained from	X	X	X	X	X	X	X	X	9
human-oral	body product	body_product	[FMA]	FMA (Foundational Model of Anatomy) browser; http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=FMA	1	FMA term	substance produced by the body, e.g. stool, mucus, where the sample was obtained from	X	X	X	X	X	X	X	X	10
human-oral	total mass	tot_mass	[measurement value]		1	float unit	total mass of the host at collection, the unit depends on host	X	X	X	X	X	X	X	X	11
human-oral	height	height	[measurement value]		1	float unit	the height of subject	X	X	X	X	X	X	X	X	12
human-oral	diet	diet	[diet type]		multiple	text	type of diet depending on the host, for animals omnivore, herbivore etc., for humans high-fat, meditteranean etc.; can include multiple diet types	X	X	X	X	X	X	X	X	13
human-oral	last meal	last_meal	[content;time interval], multiple		multiple	text;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	content of last meal and time since feeding; can include multiple values	X	X	X	X	X	X	X	X	14
human-oral	family relationship	family_relationship	[arbitrary id;relationship type]		multiple	variable character;text	relationships to other hosts in the same study, e.g. child of host # 131; can include multiple relationships	X	X	X	X	X	X	X	X	15
human-oral	genotype	genotype	[genotype]		1	text	observed genotype	X	X	X	X	X	X	X	X	16
human-oral	phenotype	phenotype	[PATO]	http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=PATO	1	PATO term	phenotype of host	X	X	X	X	X	X	X	X	17
human-oral	host body temperature	host_body_temp	[measurement value]		1	float unit	core body temperature of the host when sample was collected	X	X	X	X	X	X	X	X	18
human-oral	body-mass index	body-mass_index	[measurement value]		1	float unit	body mass index, calculated as weight/(height)squared	X	X	X	X	X	X	X	X	19
human-oral	IHMC ethnicity	ihmc_ethnicity	[IHMC code or free text]	01=Hispanic or Latino or Spanish, 02=Non-Hispanic or Non-Latino or Non- Spanish	1	IHMC code number or text	ethnicity of the subject	X	X	X	X	X	X	X	X	20
human-oral	occupation	occupation	[IHMC code]	01=01 Accounting/Finance, 02=02 Advertising/Public Relations, 03=03  Arts/Entertainment/Publishing, 04=04 Automotive, 05=05 Banking/ Mortgage, 06=06 Biotech, 07=07 Broadcast/Journalism, 08=08 Business  Development, 09=09 Clerical/Administrative, 10=10 Construction/Trades,  11=11 Consultant, 12=12 Customer Services, 13=13 Design, 14=14  Education, 15=15 Engineering, 16=16 Entry Level, 17=17 Executive,  18=18 Food Service, 19=19 Government, 20=20 Grocery, 21=21 Healthcare,  22=22 Hospitality, 23=23 Human Resources, 24=24 Information  Technology, 25=25 Insurance, 26=26 Law/Legal, 27=27 Management, 28=28  Manufacturing, 29=29 Marketing, 30=30 Pharmaceutical, 31=31  Professional Services, 32=32 Purchasing, 33=33 Quality Assurance (QA),  34=34 Research, 35=35 Restaurant, 36=36 Retail, 37=37 Sales, 38=38  Science, 39=39 Security/Law Enforcement, 40=40 Shipping/Distribution,  41=41 Strategy, 42=42 Student, 43=43 Telecommunications, 44=44  Training, 45=45 Transportation, 46=46 Warehouse, 47=47 Other, 99=99  Unknown/Refused	1	IHMC code number	most frequent job performed by subject	X	X	X	X	X	X	X	X	21
human-oral	medical history performed	medic_hist_perform	[true or false]		1	boolean	whether full medical history was collected	X	X	X	X	X	X	X	X	22
human-oral	pulse	pulse	[measurement value]		1	float unit	resting pulse, measured as beats per minute	X	X	X	X	X	X	X	X	25
human-oral	perturbation	perturbation	[perturbation type name;time interval]		multiple	text;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with time that perturbation occurred; can include multiple perturbation types	X	X	X	X	X	X	X	X	26
human-oral	sample salinity	samp_salinity	[measurement value]		1	float unit	salinity of sample, i.e. measure of total salt concentration	X	X	X	X	X	X	X	X	27
human-oral	oxygenation status of sample	oxy_stat_samp	[enumeration]	aerobic, anaerobic	1	Controlled vocabulary term	oxygenation status of sample	X	X	X	X	X	X	X	X	28
human-oral	temperature	temp	[measurement value]		1	float unit	temperature of the sample at time of sampling	X	X	X	X	X	X	X	X	29
human-oral	organism count	organism_count	[organism name;measurement value]		multiple	text;float unit	total count of any organism per gram or volume of sample,should include name of organism followed by count; can include multiple organism counts	X	X	X	X	X	X	X	X	30
human-oral	sample storage temperature	samp_store_temp	[measurement value]		1	float unit	temperature at which sample was stored, e.g. -80	X	X	X	X	X	X	X	X	31
human-oral	sample storage duration	samp_store_dur	[time interval]		1	[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	duration for which sample was stored	X	X	X	X	X	X	X	X	32
human-oral	sample storage location	samp_store_loc	[location name]		1	text	location at which sample was stored, usually name of a specific freezer/room	X	X	X	X	X	X	X	X	33
human-oral	miscellaneous parameter	misc_param	[parameter name;measurement value]		multiple	text;float unit or text	any other measurement performed or parameter collected, that is not listed here	X	X	X	X	X	X	X	X	34
human-skin	dermatology disorder	dermatology_disord	[disorder name]		multiple	text	history of dermatology disorders; can include multiple disorders	X	X	X	X	X	X	X	X	1
human-skin	time since last wash	time_since_last_wash	[timestamp]		1	[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	specification of the time since last wash	X	X	X	X	X	X	X	X	2
human-skin	dominant hand	dominant_hand	[enumeration]	left, right, ambidextrous	1	Controlled vocabulary term	dominant hand of the subject	X	X	X	X	X	X	X	X	3
human-skin	host subject id	host_subject_id	[unique id]		1	variable character	a unique identifier by which each subject can be referred to, de-identified, e.g. #131	X	X	X	X	X	X	X	X	4
human-skin	age	age	[value]		1	float unit	age of host at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees	X	X	X	X	X	X	X	X	5
human-skin	sex	sex	[enumeration]	male,female,neuter,hermaphrodite,not determined	1	Controlled vocabulary term	physical sex of the host	X	X	X	X	X	X	X	X	6
human-skin	disease status	disease_stat	[disease name or DO]	DO (Disease Ontology); http://gemina.svn.sourceforge.net/viewvc/gemina/trunk/Gemina/ontologies/gemina_symptom.obo?view=log	multiple	text or DO term	list of diseases with which the host has been diagnosed; can include multiple diagnoses. the value of the field depends on host; for humans the terms should be chosen from DO (Disease Ontology), other hosts are free text	X	X	X	X	X	X	X	X	7
human-skin	IHMC medication code	ihmc_medication_code	[IHMC code]	01=1=Analgesics/NSAIDS, 02=2=Anesthetics, 03=3=Antacids/H2  antagonists, 04=4=Anti-acne, 05=5=Anti-asthma/bronchodilators, 06=6=Anti-cholesterol/Anti-hyperlipidemic, 07=7=Anti-coagulants, 08=8=Antibiotics/(anti)-infectives, parasitics, microbials, 09=9=Antidepressants/mood-altering drugs, 10=10=Antihistamines/ Decongestants, 11=11=Antihypertensives, 12=12=Cardiovascular, other than hyperlipidemic/HTN, 13=13=Contraceptives (oral, implant, injectable), 14=14=Emergency/support medications, 15=15=Endocrine/Metabolic agents, 16=16=GI meds (anti-diarrheal, emetic, spasmodics), 17=17=Herbal/homeopathic products, 18=18=Hormones/steroids, 19=19=OTC cold & flu, 20=20=Vaccine prophylaxis, 21=21=Vitamins, minerals, food supplements, 99=99=Other	multiple	IHMC code number	can include multiple medication codes	X	X	X	X	X	X	X	X	8
human-skin	chemical administration	chem_administration	[CHEBI;timestamp]	CHEBI (Chemical Entities of Biological Interest) browser; http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=CHEBI	multiple	CHEBI term;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds	X	X	X	X	X	X	X	X	9
human-skin	body site	body_site	[FMA]	FMA (Foundational Model of Anatomy) browser; http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=FMA	1	FMA term	name of body site where the sample was obtained from	X	X	X	X	X	X	X	X	10
human-skin	body product	body_product	[FMA]	FMA (Foundational Model of Anatomy) browser; http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=FMA	1	FMA term	substance produced by the body, e.g. stool, mucus, where the sample was obtained from	X	X	X	X	X	X	X	X	11
human-skin	total mass	tot_mass	[measurement value]		1	float unit	total mass of the host at collection, the unit depends on host	X	X	X	X	X	X	X	X	12
human-skin	height	height	[measurement value]		1	float unit	the height of subject	X	X	X	X	X	X	X	X	13
human-skin	diet	diet	[diet type]		multiple	text	type of diet depending on the host, for animals omnivore, herbivore etc., for humans high-fat, meditteranean etc.; can include multiple diet types	X	X	X	X	X	X	X	X	14
human-skin	last meal	last_meal	[content;time interval], multiple		multiple	text;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	content of last meal and time since feeding; can include multiple values	X	X	X	X	X	X	X	X	15
human-skin	family relationship	family_relationship	[arbitrary id;relationship type]		multiple	variable character;text	relationships to other hosts in the same study, e.g. child of host # 131; can include multiple relationships	X	X	X	X	X	X	X	X	16
human-skin	genotype	genotype	[genotype]		1	text	observed genotype	X	X	X	X	X	X	X	X	17
human-skin	phenotype	phenotype	[PATO]	http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=PATO	1	PATO term	phenotype of host	X	X	X	X	X	X	X	X	18
human-skin	host body temperature	host_body_temp	[measurement value]		1	float unit	core body temperature of the host when sample was collected	X	X	X	X	X	X	X	X	19
human-skin	body-mass index	body-mass_index	[measurement value]		1	float unit	body mass index, calculated as weight/(height)squared	X	X	X	X	X	X	X	X	20
human-skin	IHMC ethnicity	ihmc_ethnicity	[IHMC code or free text]	01=Hispanic or Latino or Spanish, 02=Non-Hispanic or Non-Latino or Non- Spanish	1	IHMC code number or text	ethnicity of the subject	X	X	X	X	X	X	X	X	21
human-skin	occupation	occupation	[IHMC code]	01=01 Accounting/Finance, 02=02 Advertising/Public Relations, 03=03  Arts/Entertainment/Publishing, 04=04 Automotive, 05=05 Banking/ Mortgage, 06=06 Biotech, 07=07 Broadcast/Journalism, 08=08 Business  Development, 09=09 Clerical/Administrative, 10=10 Construction/Trades,  11=11 Consultant, 12=12 Customer Services, 13=13 Design, 14=14  Education, 15=15 Engineering, 16=16 Entry Level, 17=17 Executive,  18=18 Food Service, 19=19 Government, 20=20 Grocery, 21=21 Healthcare,  22=22 Hospitality, 23=23 Human Resources, 24=24 Information  Technology, 25=25 Insurance, 26=26 Law/Legal, 27=27 Management, 28=28  Manufacturing, 29=29 Marketing, 30=30 Pharmaceutical, 31=31  Professional Services, 32=32 Purchasing, 33=33 Quality Assurance (QA),  34=34 Research, 35=35 Restaurant, 36=36 Retail, 37=37 Sales, 38=38  Science, 39=39 Security/Law Enforcement, 40=40 Shipping/Distribution,  41=41 Strategy, 42=42 Student, 43=43 Telecommunications, 44=44  Training, 45=45 Transportation, 46=46 Warehouse, 47=47 Other, 99=99  Unknown/Refused	1	IHMC code number	most frequent job performed by subject	X	X	X	X	X	X	X	X	22
human-skin	medical history performed	medic_hist_perform	[true or false]		1	boolean	whether full medical history was collected	X	X	X	X	X	X	X	X	23
human-skin	pulse	pulse	[measurement value]		1	float unit	resting pulse, measured as beats per minute	X	X	X	X	X	X	X	X	26
human-skin	perturbation	perturbation	[perturbation type name;time interval]		multiple	text;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with time that perturbation occurred; can include multiple perturbation types	X	X	X	X	X	X	X	X	27
human-skin	sample salinity	samp_salinity	[measurement value]		1	float unit	salinity of sample, i.e. measure of total salt concentration	X	X	X	X	X	X	X	X	28
human-skin	oxygenation status of sample	oxy_stat_samp	[enumeration]	aerobic, anaerobic	1	Controlled vocabulary term	oxygenation status of sample	X	X	X	X	X	X	X	X	29
human-skin	temperature	temp	[measurement value]		1	float unit	temperature of the sample at time of sampling	X	X	X	X	X	X	X	X	30
human-skin	organism count	organism_count	[organism name;measurement value]		multiple	text;float unit	total count of any organism per gram or volume of sample,should include name of organism followed by count; can include multiple organism counts	X	X	X	X	X	X	X	X	31
human-skin	sample storage temperature	samp_store_temp	[measurement value]		1	float unit	temperature at which sample was stored, e.g. -80	X	X	X	X	X	X	X	X	32
human-skin	sample storage duration	samp_store_dur	[time interval]		1	[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	duration for which sample was stored	X	X	X	X	X	X	X	X	33
human-skin	sample storage location	samp_store_loc	[location name]		1	text	location at which sample was stored, usually name of a specific freezer/room	X	X	X	X	X	X	X	X	34
human-skin	miscellaneous parameter	misc_param	[parameter name;measurement value]		multiple	text;float unit or text	any other measurement performed or parameter collected, that is not listed here	X	X	X	X	X	X	X	X	35
human-vaginal	menarche	menarche	[timestamp]		1	[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	date of most recent menstruation	X	X	X	X	X	X	X	X	1
human-vaginal	sexual activity	sexual_act	[partner sex;frequency]		1	text;	current sexual partner and frequency of sex	X	X	X	X	X	X	X	X	2
human-vaginal	pregnancy	pregnancy	[timestamp]		1	[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	date due of pregnancy	X	X	X	X	X	X	X	X	3
human-vaginal	douche	douche	[timestamp]		1	[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	date of most recent douche	X	X	X	X	X	X	X	X	4
human-vaginal	birth control	birth_control	[medication name]		1	text	specification of birth control medication used	X	X	X	X	X	X	X	X	5
human-vaginal	menopause	menopause	[timestamp]		1	[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	date of onset of menopause	X	X	X	X	X	X	X	X	6
human-vaginal	HRT	hrt	[timestamp]		1	[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	whether subject had hormone replacement theraphy, and if yes start date	X	X	X	X	X	X	X	X	7
human-vaginal	hysterectomy	hysterectomy	[hysterectomy status]		1	boolean	specification of whether hysterectomy was performed	X	X	X	X	X	X	X	X	8
human-vaginal	gynecological disorder	gynecologic_disord	[gynecological disorder]		multiple	text	history of gynecological disorders; can include multiple disorders	X	X	X	X	X	X	X	X	9
human-vaginal	urogenital disorder	urogenit_disord	[disorder name]		multiple	text	history of urogenital disorders, can include multiple disorders	X	X	X	X	X	X	X	X	10
human-vaginal	host subject id	host_subject_id	[unique id]		1	variable character	a unique identifier by which each subject can be referred to, de-identified, e.g. #131	X	X	X	X	X	X	X	X	11
human-vaginal	age	age	[value]		1	float unit	age of host at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees	X	X	X	X	X	X	X	X	12
human-vaginal	sex	sex	[enumeration]	male,female,neuter,hermaphrodite,not determined	1	Controlled vocabulary term	physical sex of the host	X	X	X	X	X	X	X	X	13
human-vaginal	disease status	disease_stat	[disease name or DO]	DO (Disease Ontology); http://gemina.svn.sourceforge.net/viewvc/gemina/trunk/Gemina/ontologies/gemina_symptom.obo?view=log	multiple	text or DO term	list of diseases with which the host has been diagnosed; can include multiple diagnoses. the value of the field depends on host; for humans the terms should be chosen from DO (Disease Ontology), other hosts are free text	X	X	X	X	X	X	X	X	14
human-vaginal	IHMC medication code	ihmc_medication_code	[IHMC code]	01=1=Analgesics/NSAIDS, 02=2=Anesthetics, 03=3=Antacids/H2  antagonists, 04=4=Anti-acne, 05=5=Anti-asthma/bronchodilators, 06=6=Anti-cholesterol/Anti-hyperlipidemic, 07=7=Anti-coagulants, 08=8=Antibiotics/(anti)-infectives, parasitics, microbials, 09=9=Antidepressants/mood-altering drugs, 10=10=Antihistamines/ Decongestants, 11=11=Antihypertensives, 12=12=Cardiovascular, other than hyperlipidemic/HTN, 13=13=Contraceptives (oral, implant, injectable), 14=14=Emergency/support medications, 15=15=Endocrine/Metabolic agents, 16=16=GI meds (anti-diarrheal, emetic, spasmodics), 17=17=Herbal/homeopathic products, 18=18=Hormones/steroids, 19=19=OTC cold & flu, 20=20=Vaccine prophylaxis, 21=21=Vitamins, minerals, food supplements, 99=99=Other	multiple	IHMC code number	can include multiple medication codes	X	X	X	X	X	X	X	X	15
human-vaginal	chemical administration	chem_administration	[CHEBI;timestamp]	CHEBI (Chemical Entities of Biological Interest) browser; http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=CHEBI	multiple	CHEBI term;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds	X	X	X	X	X	X	X	X	16
human-vaginal	body site	body_site	[FMA]	FMA (Foundational Model of Anatomy) browser; http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=FMA	1	FMA term	name of body site where the sample was obtained from	X	X	X	X	X	X	X	X	17
human-vaginal	body product	body_product	[FMA]	FMA (Foundational Model of Anatomy) browser; http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=FMA	1	FMA term	substance produced by the body, e.g. stool, mucus, where the sample was obtained from	X	X	X	X	X	X	X	X	18
human-vaginal	total mass	tot_mass	[measurement value]		1	float unit	total mass of the host at collection, the unit depends on host	X	X	X	X	X	X	X	X	19
human-vaginal	height	height	[measurement value]		1	float unit	the height of subject	X	X	X	X	X	X	X	X	20
human-vaginal	diet	diet	[diet type]		multiple	text	type of diet depending on the host, for animals omnivore, herbivore etc., for humans high-fat, meditteranean etc.; can include multiple diet types	X	X	X	X	X	X	X	X	21
human-vaginal	last meal	last_meal	[content;time interval], multiple		multiple	text;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	content of last meal and time since feeding; can include multiple values	X	X	X	X	X	X	X	X	22
human-vaginal	family relationship	family_relationship	[arbitrary id;relationship type]		multiple	variable character;text	relationships to other hosts in the same study, e.g. child of host # 131; can include multiple relationships	X	X	X	X	X	X	X	X	23
human-vaginal	genotype	genotype	[genotype]		1	text	observed genotype	X	X	X	X	X	X	X	X	24
human-vaginal	phenotype	phenotype	[PATO]	http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=PATO	1	PATO term	phenotype of host	X	X	X	X	X	X	X	X	25
human-vaginal	host body temperature	host_body_temp	[measurement value]		1	float unit	core body temperature of the host when sample was collected	X	X	X	X	X	X	X	X	26
human-vaginal	body-mass index	body-mass_index	[measurement value]		1	float unit	body mass index, calculated as weight/(height)squared	X	X	X	X	X	X	X	X	27
human-vaginal	IHMC ethnicity	ihmc_ethnicity	[IHMC code or free text]	01=Hispanic or Latino or Spanish, 02=Non-Hispanic or Non-Latino or Non- Spanish	1	IHMC code number or text	ethnicity of the subject	X	X	X	X	X	X	X	X	28
human-vaginal	occupation	occupation	[IHMC code]	01=01 Accounting/Finance, 02=02 Advertising/Public Relations, 03=03  Arts/Entertainment/Publishing, 04=04 Automotive, 05=05 Banking/ Mortgage, 06=06 Biotech, 07=07 Broadcast/Journalism, 08=08 Business  Development, 09=09 Clerical/Administrative, 10=10 Construction/Trades,  11=11 Consultant, 12=12 Customer Services, 13=13 Design, 14=14  Education, 15=15 Engineering, 16=16 Entry Level, 17=17 Executive,  18=18 Food Service, 19=19 Government, 20=20 Grocery, 21=21 Healthcare,  22=22 Hospitality, 23=23 Human Resources, 24=24 Information  Technology, 25=25 Insurance, 26=26 Law/Legal, 27=27 Management, 28=28  Manufacturing, 29=29 Marketing, 30=30 Pharmaceutical, 31=31  Professional Services, 32=32 Purchasing, 33=33 Quality Assurance (QA),  34=34 Research, 35=35 Restaurant, 36=36 Retail, 37=37 Sales, 38=38  Science, 39=39 Security/Law Enforcement, 40=40 Shipping/Distribution,  41=41 Strategy, 42=42 Student, 43=43 Telecommunications, 44=44  Training, 45=45 Transportation, 46=46 Warehouse, 47=47 Other, 99=99  Unknown/Refused	1	IHMC code number	most frequent job performed by subject	X	X	X	X	X	X	X	X	29
human-vaginal	medical history performed	medic_hist_perform	[true or false]		1	boolean	whether full medical history was collected	X	X	X	X	X	X	X	X	30
human-vaginal	pulse	pulse	[measurement value]		1	float unit	resting pulse, measured as beats per minute	X	X	X	X	X	X	X	X	33
human-vaginal	perturbation	perturbation	[perturbation type name;time interval]		multiple	text;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with time that perturbation occurred; can include multiple perturbation types	X	X	X	X	X	X	X	X	34
human-vaginal	sample salinity	samp_salinity	[measurement value]		1	float unit	salinity of sample, i.e. measure of total salt concentration	X	X	X	X	X	X	X	X	35
human-vaginal	oxygenation status of sample	oxy_stat_samp	[enumeration]	aerobic, anaerobic	1	Controlled vocabulary term	oxygenation status of sample	X	X	X	X	X	X	X	X	36
human-vaginal	temperature	temp	[measurement value]		1	float unit	temperature of the sample at time of sampling	X	X	X	X	X	X	X	X	37
human-vaginal	organism count	organism_count	[organism name;measurement value]		multiple	text;float unit	total count of any organism per gram or volume of sample,should include name of organism followed by count; can include multiple organism counts	X	X	X	X	X	X	X	X	38
human-vaginal	sample storage temperature	samp_store_temp	[measurement value]		1	float unit	temperature at which sample was stored, e.g. -80	X	X	X	X	X	X	X	X	39
human-vaginal	sample storage location	samp_store_loc	[location name]		1	text	location at which sample was stored, usually name of a specific freezer/room	X	X	X	X	X	X	X	X	40
human-vaginal	sample storage duration	samp_store_dur	[time interval]		1	[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	duration for which sample was stored	X	X	X	X	X	X	X	X	41
human-vaginal	miscellaneous parameter	misc_param	[parameter name;measurement value]		multiple	text;float unit or text	any other measurement performed or parameter collected, that is not listed here	X	X	X	X	X	X	X	X	42
microbial mat/biofilm	alkalinity	alkalinity	[measurement value]		1	float unit	alkalinity measurement	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	alkyl diethers	alkyl_diethers	[measurement value]		1	float unit	concentration of alkyl diethers 	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	aminopeptidase activity	aminopept_act	[measurement value]		1	float unit	measurement of aminopeptidase activity	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	ammonium	ammonium	[measurement value]		1	float unit	concentration of ammonium	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	bacterial carbon production	bacteria_carb_prod	[measurement value]		1	float unit	measurement of bacterial carbon production	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	biomass	biomass	[biomass type;measurement value]		multiple	text;float unit	amount of biomass; should include the name for the part of biomass measured, e.g. microbial, total. can include multiple measurements	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	bishomohopanol	bishomohopanol	[measurement value]		1	float unit	concentration of bishomohopanol 	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	bromide	bromide	[measurement value]		1	float unit	concentration of bromide 	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	calcium	calcium	[measurement value]		1	float unit	concentration of calcium	X	X	X	X	X	X	X	X	0
