name_accession_number,name,host,host_phylum,viral_family,host_kingdom,name_accesion
HQ641351 ,Vibrio phage ICP1_2006_A,Vibrio,GammaProteo,Myoviridae,Bacteria,HQ641351
HQ641352 ,Vibrio phage ICP1_2005_A,Vibrio,GammaProteo,Myoviridae,Bacteria,HQ641352
HQ641353 ,Vibrio phage ICP1_2001_A,Vibrio,GammaProteo,Myoviridae,Bacteria,HQ641353
HQ641354 ,Vibrio phage ICP1_2004_A,Vibrio,GammaProteo,Myoviridae,Bacteria,HQ641354
HQ641380 ,Enterobacter phage EcP1,Enterobacter,GammaProteo,Podoviridae,Bacteria,HQ641380
HQ665011 ,Escherichia phage bV_EcoS_AKFV33,Escherichia,GammaProteo,Siphoviridae,Bacteria,HQ665011
HQ683709 ,Planktothrix phage PaV-LD,Planktothrix,Cyanobacteria,Podoviridae,Bacteria,HQ683709
HQ698895 ,S-CBS4,Synechococcus,Cyanobacteria,Siphoviridae,Bacteria,HQ698895
HQ704801 ,Organic Lake virophage,,,Environmental,,HQ704801
HQ711984 ,Pseudomonas phage phi297,Pseudomonas,GammaProteo,Siphoviridae,Bacteria,HQ711984
HQ711985 ,Pseudomonas phage vB_PaeS_PMG1,Pseudomonas,GammaProteo,Siphoviridae,Bacteria,HQ711985
HQ728263 ,Erwinia phage vB_EamM-M7,Erwinia,GammaProteo,Myoviridae,Bacteria,HQ728263
HQ728264 ,Erwinia phage vB_EamM-Y2,Erwinia,GammaProteo,Myoviridae,Bacteria,HQ728264
HQ728265 ,Erwinia phage vB_EamP-L1,Erwinia,GammaProteo,Podoviridae,Bacteria,HQ728265
HQ728266 ,Erwinia phage vB_EamP-S6,Erwinia,GammaProteo,Podoviridae,Bacteria,HQ728266
HQ832595 ,Pseudomonas phage PaP1,Pseudomonas,GammaProteo,Myoviridae,Bacteria,HQ832595
Ibhubesi ,Mycophage Ibhubesi,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Ibhubesi
IsaacEli ,Mycophage IsaacEli,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,IsaacEli
Island3 ,Mycophage Island3,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Island3
JacAttac ,Mycophage JacAttac,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JacAttac
JC27 ,Mycophage JC27,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JC27
JF270478 ,Psychrobacter phage Psymv2,Psychrobacter,GammaProteo,Siphoviridae,Bacteria,JF270478
JF314845 ,Cronobacter phage ES2,Cronobacter,GammaProteo,Unclassified,Bacteria,JF314845
JF712866 ,Vibrio phage phiVC8,Vibrio,GammaProteo,Podoviridae,Bacteria,JF712866
JF713456 ,Vibrio phage 1,Vibrio,GammaProteo,Siphoviridae,Bacteria,JF713456
JF731128 ,Enterococcus phage SAP6,Enterococcus,Firmicutes,Siphoviridae,Bacteria,JF731128
JF734911 ,Helicobacter phage phiHP33,Helicobacter,EpsilonProteo,Siphoviridae,Bacteria,JF734911
JF767208 ,phi13O,Clostridium,Firmicutes,Siphoviridae,Bacteria,JF767208
JF767209 ,phi34O,Clostridium,Firmicutes,Siphoviridae,Bacteria,JF767209
JF767210 ,phi9O,Clostridium,Firmicutes,Siphoviridae,Bacteria,JF767210
JF770475 ,Escherichia phage phiEB49,Escherichia,GammaProteo,Unclassified,Bacteria,JF770475
JF773396 ,Liberibacter phage FP2,Liberibacter,AlfaProteo,Podoviridae,Bacteria,JF773396
JF900176 ,Salmonella phage SPN9CC,Salmonella,GammaProteo,Podoviridae,Bacteria,JF900176
JF912400 ,Cronobacter phage ESP2949-1,Cronobacter,GammaProteo,Siphoviridae,Bacteria,JF912400
JF923796 ,Gordonia phage GTE5,Gordonia,Actinobacteria,Siphoviridae,Bacteria,JF923796
JF923797 ,Gordonia phage GRU1,Gordonia,Actinobacteria,Siphoviridae,Bacteria,JF923797
JF939047 ,Burkholderia phage KL1,Burkholderia ,BetaProteo,Siphoviridae,Bacteria,JF939047
JF957056 ,Mycobacterium phage Thora,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JF957056
JF957058 ,Mycobacterium phage HelDan,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JF957058
JF957060 ,Mycobacterium phage Timshel,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JF957060
JF974288 ,S-RIM8 A.HR1,Synechococcus,Cyanobacteria,Myoviridae,Bacteria,JF974288
JF974289 ,S-RIM8 A.HR3,Synechococcus,Cyanobacteria,Myoviridae,Bacteria,JF974289
JHC117 ,Mycophage JHC117,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JHC117
JN020141 ,Mycobacterium phage Shauna1,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JN020141
JN020142 ,Mycobacterium phage Mutaforma13,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JN020142
JN020143 ,Mycobacterium phage ShiLan,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JN020143
JN022534 ,Xanthomonas phage vB_XveM_DIBBI,Xanthomonas,GammaProteo,Myoviridae,Bacteria,JN022534
JN035618 ,Gordonia phage GTE7,Gordonia,Actinobacteria,Siphoviridae,Bacteria,JN035618
JN051154 ,Pediococcus phage clP1,Pediococcus,Firmicutes,Siphoviridae,Bacteria,JN051154
JN116822 ,Rhodococcus phage RRH1,Rhodococcus,Actinobacteria,Siphoviridae,Bacteria,JN116822
JN116823 ,Rhodococcus phage REQ2,Rhodococcus,Actinobacteria,Unclassified,Bacteria,JN116823
JN116824 ,Rhodococcus phage REQ3,Rhodococcus,Actinobacteria,Unclassified,Bacteria,JN116824
JN116825 ,Rhodococcus phage REQ1,Rhodococcus,Actinobacteria,Siphoviridae,Bacteria,JN116825
JN116826 ,Rhodococcus phage RGL3,Rhodococcus,Actinobacteria,Siphoviridae,Bacteria,JN116826
JN116827 ,Rhodococcus phage RER2,Rhodococcus,Actinobacteria,Siphoviridae,Bacteria,JN116827
JN116828 ,Nocardia phage NBR1,Nocardia,Actinobacteria,Siphoviridae,Bacteria,JN116828
JN126049 ,Salmonella phage PhiSH19,Salmonella,GammaProteo,Myoviridae,Bacteria,JN126049
JN132397 ,Campylobacter phage CPX,Campylobacter,EpsilonProteo,Myoviridae,Bacteria,JN132397
JN175269 ,Pseudomonas phage phi_Pto-bp6g,Pseudomonas,GammaProteo,Unclassified,Bacteria,JN175269
JN185608 ,Mycobacterium phage JAWS,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JN185608
JN190960 ,Rhodobacter phage RcapMu,Rhodobacter,AlfaProteo,Siphoviridae,Bacteria,JN190960
JN191664 ,BtCS33,Bacillus,Firmicutes,Siphoviridae,Bacteria,JN191664
JN192400 ,vB_SepiS-phiIPLA5,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,JN192400
JN192401 ,vB_SepiS-phiIPLA7,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,JN192401
JN243857 ,Mycobacterium phage Wile,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JN243857
JN256079 ,Mycobacterium phage Charlie,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JN256079
JN408460 ,Mycobacterium phage Turbido,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JN408460
JN408461 ,Mycobacterium phage Trixie,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JN408461
JN412590 ,Mycobacterium phage Eureka,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JN412590
JN412591 ,Mycobacterium phage BigNuz,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JN412591
JN412593 ,Mycobacterium phage Liefie,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JN412593
JN561150 ,Mycobacterium phage TiroTheta9,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JN561150
JN564907 ,Burkholderia phage AH2,Burkholderia ,BetaProteo,Siphoviridae,Bacteria,JN564907
JN572060 ,Mycobacterium phage AnnaL29,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JN572060
JN572061 ,Mycobacterium phage Jebeks,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JN572061
JN572689 ,Mycobacterium phage Perseus,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JN572689
JN585957 ,Erwinia phage PEp14,Erwinia,GammaProteo,Podoviridae,Bacteria,JN585957
JN593240 ,Escherichia phage vB_EcoM_CBA120,Escherichia,GammaProteo,Myoviridae,Bacteria,JN593240
JN600672 ,Mycobacterium phage Fezzik,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JN600672
JN600960 ,Enterobacteria phage IME10,Escherichia,GammaProteo,Podoviridae,Bacteria,JN600960
JN603369 ,Sputnik virophage 2,,,Virophages,,JN603369
JN603370 ,Sputnik virophage 3,,,Virophages,,JN603370
JN624850 ,Mycobacterium phage Pleione,Mycobacterium,Actinobacteria,Myoviridae,Bacteria,JN624850
JN624851 ,Mycobacterium phage Redi,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JN624851
JN627160 ,Pseudomonas phage OBP,Pseudomonas,GammaProteo,Myoviridae,Bacteria,JN627160
JN638751 ,G,Bacillus,Firmicutes,Myoviridae,Bacteria,JN638751
JN638752 ,Mycobacterium phage Murdoc,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JN638752
JN638753 ,Mycobacterium phage Morgushi,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JN638753
JN641803 ,Salmonella phage SPN3US,Salmonella,GammaProteo,Myoviridae,Bacteria,JN641803
JN651747 ,phiAS7,Aeromonas,GammaProteo,Podoviridae,Bacteria,JN651747
JN660814 ,Mycobacterium phage Dreamboat,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JN660814
JN673056 ,Escherichia phage PhaxI,Escherichia,GammaProteo,Myoviridae,Bacteria,JN673056
JN680858 ,Mycobacterium phage Rumpelstiltskin,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JN680858
JN698993 ,Mycobacterium phage Firecracker,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JN698993
JN698996 ,Mycobacterium phage DeadP,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JN698996
JN698997 ,Mycobacterium phage Courthouse,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JN698997
JN698998 ,Mycobacterium phage Bruns,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JN698998
JN699002 ,Mycobacterium phage Avrafan,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JN699002
JN699005 ,Mycobacterium phage Alma,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JN699005
JN699009 ,Mycobacterium phage ThreeOh3D2,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JN699009
JN699019 ,Mycobacterium phage Jeffabunny,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JN699019
JN699625 ,Mycobacterium phage Wally,Mycobacterium,Actinobacteria,Myoviridae,Bacteria,JN699625
JN699626 ,Mycobacterium phage MoMoMixon,Mycobacterium,Actinobacteria,Myoviridae,Bacteria,JN699626
JN699628 ,Mycobacterium phage Bongo,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JN699628
JN700519 ,StB27,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,JN700519
JN700520 ,StB12,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,JN700520
JN700521 ,StB20,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,JN700521
JN797797 ,BCP78,Bacillus,Firmicutes,Myoviridae,Bacteria,JN797797
JN800508 ,phi24R,Clostridium,Firmicutes,Podoviridae,Bacteria,JN800508
JN808773 ,Pseudomonas phage F_HA0480sp/Pa1651,Pseudomonas,GammaProteo,Siphoviridae,Bacteria,JN808773
JN811560 ,Pseudomonas phage JBD26,Pseudomonas,GammaProteo,Siphoviridae,Bacteria,JN811560
JN831653 ,Mycobacterium phage Fionnbharth,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JN831653
JN831654 ,Mycobacterium phage Saintus,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JN831654
JN848801 ,Vibrio phage VCY-phi,Vibrio,GammaProteo,Siphoviridae,Bacteria,JN848801
JN849462 ,Vibriophage phi-pp2,Vibrio,GammaProteo,Unclassified,Bacteria,JN849462
JN880423 ,Salisaeta icosahedral phage 1,Salisaeta,Bacteroidetes,Unclassified,Bacteria,JN880423
JN882264 ,Halorubrum pleomorphic virus 2,Halorubrum,Euryachaeota,Unclassified SS,Archaea,JN882264
JN882265 ,Halorubrum pleomorphic virus 3,Halorubrum,Euryachaeota,Unclassified SS,Archaea,JN882265
JN882266 ,Halorubrum pleomorphic virus 6,Halorubrum,Euryachaeota,Unclassified SS,Archaea,JN882266
JN882267 ,Halogeometricum pleomorphic virus 1,Halogeometricum,Euryachaeota,Unclassified SS,Archaea,JN882267
JN882298 ,Escherichia phage phiKT,Escherichia,GammaProteo,Podoviridae,Bacteria,JN882298
JN939331 ,Brucella phage Tb,Brucella,AlfaProteo,Podoviridae,Bacteria,JN939331
JN939332 ,Brucella phage Pr,Brucella,AlfaProteo,Podoviridae,Bacteria,JN939332
JN968479 ,Haloarcula hispanica icosahedral virus 2,Haloarcula,Euryachaeota,Unclassified DS,Archaea,JN968479
JN984867 ,Shigella phage EP23,Shigella,GammaProteo,Siphoviridae,Bacteria,JN984867
JN991020 ,Pseudomonas phage Bf7,Pseudomonas,GammaProteo,Podoviridae,Bacteria,JN991020
JoeDirt ,Mycophage JoeDirt,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JoeDirt
JQ007353 ,Salmonella phage SE2,Salmonella,GammaProteo,Siphoviridae,Bacteria,JQ007353
JQ010983 ,Thermococcus prieurii virus 1,Thermococcus,Euryachaeota,Unclassified,Archaea,JQ010983
JQ011317 ,Escherichia phage TL-2011b,Escherichia,GammaProteo,Podoviridae,Bacteria,JQ011317
JQ011318 ,Escherichia phage TL-2011c,Escherichia,GammaProteo,Podoviridae,Bacteria,JQ011318
JQ031132 ,Enterobacteria phage vB_EcoM-FV3,Escherichia,GammaProteo,Myoviridae,Bacteria,JQ031132
JQ062992 ,phIS3501,Bacillus,Firmicutes,Siphoviridae,Bacteria,JQ062992
JQ066768 ,Rhodobacter phage RcapNL,Rhodobacter,AlfaProteo,Unclassified DS,Bacteria,JQ066768
JQ067083 ,UNVERIFIED: Pseudomonas phage PaMx13,Pseudomonas,GammaProteo,Myoviridae,Bacteria,JQ067083
JQ067084 ,UNVERIFIED: Pseudomonas phage PaMx25,Pseudomonas,GammaProteo,Siphoviridae,Bacteria,JQ067084
JQ067085 ,UNVERIFIED: Pseudomonas phage PaMx73,Pseudomonas,GammaProteo,Siphoviridae,Bacteria,JQ067085
JQ177061 ,Vibrio phage CP-T1,Vibrio,GammaProteo,Myoviridae,Bacteria,JQ177061
JQ177062 ,Bdellovibrio phage phi1422,Bdellovibrio,DeltaProteo,Myoviridae,Bacteria,JQ177062
JQ177063 ,vB_AsaM-56,Aeromonas,GammaProteo,Myoviridae,Bacteria,JQ177063
JQ177064 ,Vibrio phage vB_VchM-138,Vibrio,GammaProteo,Myoviridae,Bacteria,JQ177064
JQ177065 ,Pectobacterium phage ZF40,Pectobacterium,GammaProteo,Myoviridae,Bacteria,JQ177065
JQ245707 ,Cyanophage S-TIM5,Synechococcus,Cyanobacteria,Myoviridae,Bacteria,JQ245707
JQ246028 ,phi8074-B1,Clostridium,Firmicutes,Siphoviridae,Bacteria,JQ246028
JQ288021 ,Salmonella phage SPN3UB,Salmonella,GammaProteo,Siphoviridae,Bacteria,JQ288021
JQ300538 ,Mycobacterium phage Spartacus,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JQ300538
JQ307386 ,Pseudomonas phage vB_Pae-TbilisiM32,Pseudomonas,GammaProteo,Podoviridae,Bacteria,JQ307386
JQ307387 ,Pseudomonas phage vB_Pae-Kakheti25,Pseudomonas,GammaProteo,Siphoviridae,Bacteria,JQ307387
JQ340088 ,Halocynthia phage JM-2012,Halocynthia  ,,Myoviridae,,JQ340088
JQ340389 ,Vibrio phage pVp-1,Vibrio,GammaProteo,Siphoviridae,Bacteria,JQ340389
JQ340774 ,Enterobacter phage Enc34,Enterobacter,GammaProteo,Siphoviridae,Bacteria,JQ340774
JQ362498 ,Sphingomonas phage PAU,Sphingomonas,AlfaProteo,Myoviridae,Bacteria,JQ362498
JQ408219 ,Ralstonia phage RSS0,Ralstonia,BetaProteo,Inoviridae,Bacteria,JQ408219
JQ446452 ,Salinivibrio phage CW02,Salinivibrio,GammaProteo,Podoviridae,Bacteria,JQ446452
JQ512844 ,Mycobacterium phage Twister,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JQ512844
JQ513383 ,Enterobacteria phage vB_KleM-RaK2,Klebsiella,GammaProteo,Myoviridae,Bacteria,JQ513383
JQ619704 ,PBC1,Bacillus,Firmicutes,Siphoviridae,Bacteria,JQ619704
JQ660954 ,PhiS63,Clostridium,Firmicutes,Siphoviridae,Bacteria,JQ660954
JQ684677 ,Mycobacterium phage Tiger,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JQ684677
JQ691612 ,Cronobacter phage CR3,Cronobacter,GammaProteo,Myoviridae,Bacteria,JQ691612
JQ692107 ,Vibrio vulnificus phage SSP002,Vibrio,GammaProteo,Siphoviridae,Bacteria,JQ692107
JQ698665 ,Mycobacterium phage Nepal,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JQ698665
JQ729990 ,phiCP7R,Clostridium,Firmicutes,Podoviridae,Bacteria,JQ729990
JQ729991 ,phiCPV4,Clostridium,Firmicutes,Unclassified,Bacteria,JQ729991
JQ729992 ,phiZP2,Clostridium,Firmicutes,Unclassified,Bacteria,JQ729992
JQ740787 ,Lactococcus Phage ASCC191,Lactococcus,Firmicutes,Siphoviridae,Bacteria,JQ740787
JQ740788 ,Lactococcus Phage ASCC273,Lactococcus,Firmicutes,Siphoviridae,Bacteria,JQ740788
JQ740789 ,Lactococcus Phage ASCC281,Lactococcus,Firmicutes,Siphoviridae,Bacteria,JQ740789
JQ740790 ,Lactococcus Phage ASCC284,Lactococcus,Firmicutes,Siphoviridae,Bacteria,JQ740790
JQ740791 ,Lactococcus Phage ASCC287,Lactococcus,Firmicutes,Siphoviridae,Bacteria,JQ740791
JQ740792 ,Lactococcus Phage ASCC310,Lactococcus,Firmicutes,Siphoviridae,Bacteria,JQ740792
JQ740793 ,Lactococcus Phage ASCC324,Lactococcus,Firmicutes,Siphoviridae,Bacteria,JQ740793
JQ740794 ,Lactococcus Phage ASCC337,Lactococcus,Firmicutes,Siphoviridae,Bacteria,JQ740794
JQ740795 ,Lactococcus Phage ASCC356,Lactococcus,Firmicutes,Siphoviridae,Bacteria,JQ740795
JQ740796 ,Lactococcus Phage ASCC358,Lactococcus,Firmicutes,Siphoviridae,Bacteria,JQ740796
JQ740797 ,Lactococcus Phage ASCC365,Lactococcus,Firmicutes,Siphoviridae,Bacteria,JQ740797
JQ740798 ,Lactococcus Phage ASCC368,Lactococcus,Firmicutes,Siphoviridae,Bacteria,JQ740798
JQ740799 ,Lactococcus Phage ASCC395,Lactococcus,Firmicutes,Siphoviridae,Bacteria,JQ740799
JQ740800 ,Lactococcus Phage ASCC397,Lactococcus,Firmicutes,Siphoviridae,Bacteria,JQ740800
JQ740801 ,Lactococcus Phage ASCC406,Lactococcus,Firmicutes,Siphoviridae,Bacteria,JQ740801
JQ740802 ,Lactococcus Phage ASCC454,Lactococcus,Firmicutes,Siphoviridae,Bacteria,JQ740802
JQ740803 ,Lactococcus Phage ASCC460,Lactococcus,Firmicutes,Siphoviridae,Bacteria,JQ740803
JQ740804 ,Lactococcus Phage ASCC465,Lactococcus,Firmicutes,Siphoviridae,Bacteria,JQ740804
JQ740805 ,Lactococcus Phage ASCC473,Lactococcus,Firmicutes,Siphoviridae,Bacteria,JQ740805
JQ740806 ,Lactococcus Phage ASCC476,Lactococcus,Firmicutes,Siphoviridae,Bacteria,JQ740806
JQ740807 ,Lactococcus Phage ASCC489,Lactococcus,Firmicutes,Siphoviridae,Bacteria,JQ740807
JQ740808 ,Lactococcus Phage ASCC497,Lactococcus,Firmicutes,Siphoviridae,Bacteria,JQ740808
JQ740809 ,Lactococcus Phage ASCC502,Lactococcus,Firmicutes,Siphoviridae,Bacteria,JQ740809
JQ740810 ,Lactococcus Phage ASCC506,Lactococcus,Firmicutes,Siphoviridae,Bacteria,JQ740810
JQ740811 ,Lactococcus Phage ASCC527,Lactococcus,Firmicutes,Siphoviridae,Bacteria,JQ740811
JQ740812 ,Lactococcus Phage ASCC531,Lactococcus,Firmicutes,Siphoviridae,Bacteria,JQ740812
JQ740813 ,Lactococcus Phage ASCC532,Lactococcus,Firmicutes,Siphoviridae,Bacteria,JQ740813
JQ740814 ,Lactococcus Phage ASCC544,Lactococcus,Firmicutes,Siphoviridae,Bacteria,JQ740814
JQ762257 ,Pseudomonas phage MP42,Pseudomonas,GammaProteo,Myoviridae,Bacteria,JQ762257
JQ768459 ,Pseudomonas phage Lu11,Pseudomonas,GammaProteo,Siphoviridae,Bacteria,JQ768459
JQ779023 ,SMSAP5,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,JQ779023
JQ779024 ,TEM123,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,JQ779024
JQ780163 ,Vibrio phage VP3,Vibrio,GammaProteo,Podoviridae,Bacteria,JQ780163
JQ801337 ,Vibrio phage VvAW1,Vibrio,GammaProteo,Podoviridae,Bacteria,JQ801337
JQ806763 ,Salmonella phage vB_SemP_Emek,Salmonella,GammaProteo,Podoviridae,Bacteria,JQ806763
JQ806764 ,Salmonella phage vB_SosS_Oslo,Salmonella,GammaProteo,Siphoviridae,Bacteria,JQ806764
JQ809650 ,Celeribacter phage P12053L,Celeribacter,AlfaProteo,Unclassified DS,Bacteria,JQ809650
JQ809701 ,Mycobacterium phage Flux,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JQ809701
JQ809702 ,Mycobacterium phage Avani,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JQ809702
JQ809703 ,Mycobacterium phage Aeneas,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JQ809703
JQ823122 ,Persicivirga phage P12024S,Persicivlrga,Bacteroidetes,Unclassified DS,Bacteria,JQ823122
JQ823123 ,Persicivirga phage P12024L,Persicivlrga,Bacteroidetes,Unclassified DS,Bacteria,JQ823123
JQ867099 ,Croceibacter phage P2559S,Cronobacter,GammaProteo,Unclassified DS,Bacteria,JQ867099
JQ867100 ,Marinomonas phage P12026,Marinomonas,,Unclassified DS,,JQ867100
JQ896627 ,Mycobacterium phage ICleared,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JQ896627
JQ911768 ,Mycobacterium phage Ava3,Mycobacterium,Actinobacteria,Myoviridae,Bacteria,JQ911768
JX006077 ,Saccharomonospora phage PIS 136,Saccharomonospora,Actinobacteria,Siphoviridae,Bacteria,JX006077
JX015524 ,Mycobacteriophage Astro,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,JX015524
JX042578 ,Mycobacteriophage ElTiger69,Mycobacterium,Actinobacteria,Caudovirales,Bacteria,JX042578
JX042579 ,Mycobacteriophage MacnCheese,Mycobacterium,Actinobacteria,Caudovirales,Bacteria,JX042579
JX104231 ,Burkholderia phage BcepMigl,Burkholderia ,BetaProteo,Podoviridae,Bacteria,JX104231
JX123262 ,CC2,Aeromonas,GammaProteo,Myoviridae,Bacteria,JX123262
JX131330 ,Pseudomonas phage MP1412,Pseudomonas,GammaProteo,Siphoviridae,Bacteria,JX131330
Kamiyu_complete ,Mycophage Kamiyu,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Kamiyu_complete
Kikipoo ,Mycophage Kikipoo,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Kikipoo
KLucky39 ,Mycophage KLucky39,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,KLucky39
KSSJEB ,Mycophage KSSJEB,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,KSSJEB
Kugel ,Mycophage Kugel,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Kugel
Larva ,Mycophage Larva,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Larva
Lesedi ,Mycophage Lesedi,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Lesedi
LHTSCC ,Mycophage LHTSCC,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,LHTSCC
Lilac ,Mycophage Lilac,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Lilac
LinStu ,Mycophage LinStu,Mycobacterium,Actinobacteria,Myoviridae,Bacteria,LinStu
LittleE ,Mycophage LittleE,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,LittleE
LRRHood ,Mycophage LRRHood,Mycobacterium,Actinobacteria,Myoviridae,Bacteria,LRRHood
Marvin ,Mycophage Marvin,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Marvin
Maverick_1_51372 ,Mycobacterium phage Maverick,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Maverick_1_51372
Microwolf ,Mycophage Microwolf,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Microwolf
Mozy ,Mycophage Mozy,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Mozy
MrGordo ,Mycophage MrGordo,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,MrGordo
Museum ,Mycophage Museum,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Museum
Nappy ,Mycophage Nappy,Mycobacterium,Actinobacteria,Myoviridae,Bacteria,Nappy
NC_000866 ,Enterobacteria phage T4,Escherichia,GammaProteo,Myoviridae,Bacteria,NC_000866
NC_000867 ,Alteromonas phage PM2,Alteromonas,GammaProteo,Corticoviridae,Bacteria,NC_000867
NC_000871 ,Streptococcus thermophilus bacteriophage Sfi19,Streptococcus,Firmicutes,Siphoviridae,Bacteria,NC_000871
NC_000872 ,Streptococcus thermophilus bacteriophage Sfi21,Streptococcus,Firmicutes,Siphoviridae,Bacteria,NC_000872
NC_000896 ,Lactobacillus bacteriophage phi adh,Lactobacillus,Firmicutes,Siphoviridae,Bacteria,NC_000896
NC_000902 ,Bacteriophage VT2-Sa,Escherichia,GammaProteo,Podoviridae,Bacteria,NC_000902
NC_000924 ,Bacteriophage 933W,Escherichia,GammaProteo,Podoviridae,Bacteria,NC_000924
NC_000929 ,Enterobacteria phage Mu,Escherichia,GammaProteo,Myoviridae,Bacteria,NC_000929
NC_000935 ,Endosymbiont phage APSE-1,Hamiltonella,GammaProteo,Podoviridae,Bacteria,NC_000935
NC_001270 ,SVTS2 plectrovirus,Spiroplasma,Firmicutes,Inoviridae,Bacteria,NC_001270
NC_001271 ,Bacteriophage phiYeO3-12,Yersinia,GammaProteo,Podoviridae,Bacteria,NC_001271
NC_001317 ,Enterobacteria phage 186,Escherichia,GammaProteo,Myoviridae,Bacteria,NC_001317
NC_001330 ,Coliphage alpha3,Escherichia,GammaProteo,Microviridae,Bacteria,NC_001330
NC_001331 ,Pseudomonas phage Pf1,Pseudomonas,GammaProteo,Inoviridae,Bacteria,NC_001331
NC_001332 ,Enterobacteria phage I2-2,Escherichia,GammaProteo,Inoviridae,Bacteria,NC_001332
NC_001333 ,Enterobacteria phage fr,Escherichia,GammaProteo,Leviviridae,Bacteria,NC_001333
NC_001335 ,Mycobacterium phage L5,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_001335
NC_001338 ,Sulfolobus virus 1,Sulfolobus,Crenarchaeota,Fuselloviridae,Archaea,NC_001338
